ID;token;tipo;linha;coluna
1;int;PR:INT;1;1
2;x;NOMEVARIAVEL;1;5
3;=;ATRIBUICAO;1;7
4;10;INTEIRO;1;9
5;";";PONTO_VIRGULA;1;11
6;float;PR:FLOAT;2;1
7;y;NOMEVARIAVEL;2;7
8;=;ATRIBUICAO;2;9
9;20.5;FRACIONARIO;2;11
10;";";PONTO_VIRGULA;2;15
11;char;PR:CHAR;3;1
12;letra;NOMEVARIAVEL;3;6
13;";";PONTO_VIRGULA;3;11
14;double;PR:DOUBLE;4;1
15;a;NOMEVARIAVEL;4;8
16;=;ATRIBUICAO;4;10
17;1.5;FRACIONARIO;4;12
18;,;VIRGULA;4;15
19;b;NOMEVARIAVEL;4;17
20;,;VIRGULA;4;18
21;c;NOMEVARIAVEL;4;20
22;=;ATRIBUICAO;4;22
23;3.14;FRACIONARIO;4;24
24;";";PONTO_VIRGULA;4;28
25;boolean;PR:BOOLEAN;5;1
26;ativo;NOMEVARIAVEL;5;9
27;=;ATRIBUICAO;5;15
28;true;PR:TRUE;5;17
29;";";PONTO_VIRGULA;5;21
30;int;PR:INT;6;1
31;total;NOMEVARIAVEL;6;5
32;";";PONTO_VIRGULA;6;10
33;int;PR:INT;7;1
34;erro_atribuicao;NOMEVARIAVEL;7;5
35;=;ATRIBUICAO;7;21
36;";";PONTO_VIRGULA;7;23
37;float;PR:FLOAT;8;1
38;=;ATRIBUICAO;8;7
39;10;INTEIRO;8;9
40;";";PONTO_VIRGULA;8;11
41;double;PR:DOUBLE;9;1
42;sem_ponto_virgula;NOMEVARIAVEL;9;8
